ArtistName,SourceId,ExpectedMbid,ChosenMbid,Decision,Correct,Confidence,Margin,ApiCalls,ElapsedMs,Error
Daryl Runswick,f8831d2c23d647fb971c24de850e4682,712b41fd-4ab7-4b00-88dd-6a7a9b11e748,712b41fd-4ab7-4b00-88dd-6a7a9b11e748,needs_review,True,0.9707,3.5000,4,444,
Daryl Simmons,d9434d6b51dd430fa00ab40bba3469db,85f22d47-dd8a-489a-8ccc-9180b7f497b4,85f22d47-dd8a-489a-8ccc-9180b7f497b4,needs_review,True,0.9707,3.5000,4,421,
Daryl Stuermer,6d69d1d7c23b42a2b791ace9be7755b2,e4d0a768-d891-4a77-bcd9-e03d219cd083,e4d0a768-d891-4a77-bcd9-e03d219cd083,needs_review,True,0.9707,3.5000,4,436,
Das Efx,82b1db4c127e4ada8dc91f5ecdb867a3,2ed45dd0-6a96-4459-af32-bc74e7a7f387,2ed45dd0-6a96-4459-af32-bc74e7a7f387,needs_review,True,0.8581,1.8000,5,524,
Dash Berlin,3176f0ec0ee64394a2576bc9b4d586b9,ccfa0410-bd90-4fd1-ab85-8995a57e265b,ccfa0410-bd90-4fd1-ab85-8995a57e265b,needs_review,True,0.5000,0.0000,110,11758,
Dash Crofts,7e91d495997c412987a6f660acfa8ac7,925f1831-90ab-40dc-8c67-be94fdf78fa6,925f1831-90ab-40dc-8c67-be94fdf78fa6,needs_review,True,0.9707,3.5000,4,466,
Dashboard Confessional,90f81a9be07547199e84e9fdde5dd878,50549203-9602-451c-b49f-ff031ba8635c,50549203-9602-451c-b49f-ff031ba8635c,needs_review,True,0.9707,3.5000,3,269,
Datarock,8cf595baf61146dfb80cf339609b385f,535707ce-ad97-4b73-946e-9ca27869fd3c,535707ce-ad97-4b73-946e-9ca27869fd3c,needs_review,True,0.9707,3.5000,3,271,
Daughter,8e7c607200d14806bb14ce83562e3422,a1ced3e5-476c-4046-bd74-d428f419989b,a1ced3e5-476c-4046-bd74-d428f419989b,needs_review,True,0.9707,3.5000,11,1163,
Dave,e93ed5e53a2f441180adb405541e7704,f93bac9e-b20a-403e-abc9-06a2fc151df1,c7740223-c657-4b0a-a0a4-b8349169e760,needs_review,False,0.8581,0.0000,85,8390,
Dave & Ansel Collins,521493442eb54ecabec88eb1cddaf602,339248fd-883b-4b2d-8803-62a7ded53e23,339248fd-883b-4b2d-8803-62a7ded53e23,needs_review,True,0.8581,1.8000,4,508,
Dave 'Curley' Williams,bc0a32df0b7b4b1caf6d2588ca607421,,,needs_review,,0.0000,0.0000,6,555,
Dave Abbruzzese,a9202366e8fb41e8b34f3684e8705b6a,d1614738-729b-4be5-a138-488df4b9a15e,d1614738-729b-4be5-a138-488df4b9a15e,needs_review,True,0.9707,3.5000,4,484,
Dave Alexander,111941660cd745c09593dfc6fc409195,cb04b22e-a2e7-45b2-8bd8-37b80b94af2c,0ee34279-2624-41a5-8c14-a85da7eba79a,needs_review,False,0.9707,3.5000,7,728,
Dave Alldred,b41981a2ed4f42878eaf757e49b50066,276a7f08-8f10-4f71-b6fa-248f04a9d89f,276a7f08-8f10-4f71-b6fa-248f04a9d89f,needs_review,True,0.9707,3.5000,4,434,
